age,author,brand,category,color,condition,duration,editor,id,image_height,image_url,image_width,images_count,material,price,product_description,product_height,product_length,product_name,product_size,product_width,shoe_size,store_name,sub_category_1,sub_category_2,sub_category_3,sub_category_4,vintage,warranty,weight,wifi,year,pixels
-1,-1,-1,0,0,0,2.0,-1,0,2552.0,0,3458.0,3,0,4.5,0,,,0,0,,,0,0,-1,-1,-1,0,-1,200.0,-1,,8824816.0
-1,-1,0,1,1,1,1.0,-1,1,2254.0,1,2486.0,2,1,15.0,1,,,1,-1,,,1,1,-1,-1,-1,1,-1,1000.0,-1,,5603444.0
-1,-1,1,2,2,2,1.0,-1,2,1536.0,2,1536.0,3,2,16.0,2,,,-1,1,,,2,2,0,-1,-1,0,-1,360.0,-1,,2359296.0
-1,-1,-1,1,-1,0,1.0,-1,3,1100.0,3,1100.0,2,-1,24.0,3,,,2,-1,,,3,3,-1,-1,-1,-1,-1,520.0,-1,,1210000.0
-1,-1,-1,3,3,3,0.0,-1,4,450.0,4,450.0,2,-1,139.0,4,,,3,-1,,,4,4,-1,-1,-1,-1,0,300.0,0,,202500.0
-1,0,-1,4,4,1,1.0,0,5,615.0,5,800.0,6,-1,15.0,5,,,4,-1,,,5,5,1,-1,-1,-1,-1,550.0,-1,1939.0,492000.0
-1,-1,2,5,3,0,1.0,-1,6,2450.0,6,3000.0,4,3,10.0,6,,,5,-1,,,0,6,2,0,-1,1,-1,1000.0,-1,,7350000.0
-1,-1,-1,5,-1,0,1.0,-1,7,729.0,7,1024.0,1,-1,12.6,7,,,6,-1,,,6,7,3,1,-1,1,-1,400.0,-1,,746496.0
-1,-1,-1,5,0,1,0.0,-1,8,2964.0,8,2749.0,7,-1,20.0,8,,,7,-1,,,5,8,-1,-1,-1,-1,-1,1800.0,-1,,8148036.0
-1,-1,3,2,5,4,2.0,1,9,2448.0,9,2448.0,13,4,15.0,9,,,8,2,,,7,2,0,2,-1,-1,-1,540.0,-1,,5992704.0
